filename,foldername,labels
Telugu-171.wav,Telugu,3
Tamil-293.wav,Tamil,2
Kannada-277.wav,Kannada,1
Tamil-306.wav,Tamil,2
Telugu-71.wav,Telugu,3
Tamil-292.wav,Tamil,2
Hindi-473.wav,Hindi,0
Tamil-348.wav,Tamil,2
Hindi-323.wav,Hindi,0
Telugu-288.wav,Telugu,3
Telugu-467.wav,Telugu,3
Tamil-67.wav,Tamil,2
Kannada-216.wav,Kannada,1
Hindi-284.wav,Hindi,0
Telugu-259.wav,Telugu,3
Hindi-285.wav,Hindi,0
Tamil-212.wav,Tamil,2
Hindi-321.wav,Hindi,0
Hindi-212.wav,Hindi,0
Hindi-434.wav,Hindi,0
Kannada-387.wav,Kannada,1
Tamil-448.wav,Tamil,2
Telugu-350.wav,Telugu,3
Kannada-408.wav,Kannada,1
Tamil-286.wav,Tamil,2
Tamil-274.wav,Tamil,2
Hindi-290.wav,Hindi,0
Hindi-148.wav,Hindi,0
Kannada-138.wav,Kannada,1
Tamil-452.wav,Tamil,2
Kannada-385.wav,Kannada,1
Telugu-289.wav,Telugu,3
Tamil-284.wav,Tamil,2
Hindi-408.wav,Hindi,0
Telugu-392.wav,Telugu,3
Telugu-349.wav,Telugu,3
Telugu-372.wav,Telugu,3
Tamil-317.wav,Tamil,2
Hindi-491.wav,Hindi,0
Telugu-99.wav,Telugu,3
Hindi-349.wav,Hindi,0
Telugu-370.wav,Telugu,3
Telugu-138.wav,Telugu,3
Telugu-172.wav,Telugu,3
Telugu-300.wav,Telugu,3
Telugu-401.wav,Telugu,3
Telugu-404.wav,Telugu,3
Tamil-439.wav,Tamil,2
Kannada-477.wav,Kannada,1
Hindi-483.wav,Hindi,0
Tamil-377.wav,Tamil,2
Hindi-466.wav,Hindi,0
Tamil-366.wav,Tamil,2
Tamil-412.wav,Tamil,2
Kannada-200.wav,Kannada,1
Tamil-398.wav,Tamil,2
Tamil-437.wav,Tamil,2
Hindi-210.wav,Hindi,0
Hindi-372.wav,Hindi,0
Tamil-489.wav,Tamil,2
Tamil-361.wav,Tamil,2
Kannada-341.wav,Kannada,1
Telugu-317.wav,Telugu,3
Hindi-270.wav,Hindi,0
Kannada-382.wav,Kannada,1
Kannada-201.wav,Kannada,1
Kannada-302.wav,Kannada,1
Tamil-478.wav,Tamil,2
Kannada-367.wav,Kannada,1
Hindi-366.wav,Hindi,0
Tamil-485.wav,Tamil,2
Kannada-384.wav,Kannada,1
Hindi-458.wav,Hindi,0
Tamil-239.wav,Tamil,2
Hindi-239.wav,Hindi,0
Telugu-311.wav,Telugu,3
Kannada-449.wav,Kannada,1
Tamil-311.wav,Tamil,2
Telugu-481.wav,Telugu,3
Telugu-314.wav,Telugu,3
Telugu-427.wav,Telugu,3
Kannada-446.wav,Kannada,1
Tamil-249.wav,Tamil,2
Kannada-361.wav,Kannada,1
Telugu-408.wav,Telugu,3
Telugu-230.wav,Telugu,3
Telugu-344.wav,Telugu,3
Hindi-392.wav,Hindi,0
Tamil-199.wav,Tamil,2
Hindi-161.wav,Hindi,0
Hindi-467.wav,Hindi,0
Telugu-298.wav,Telugu,3
Telugu-116.wav,Telugu,3
Kannada-354.wav,Kannada,1
Tamil-245.wav,Tamil,2
Hindi-216.wav,Hindi,0
Telugu-303.wav,Telugu,3
Tamil-161.wav,Tamil,2
Telugu-458.wav,Telugu,3
Hindi-211.wav,Hindi,0
Kannada-470.wav,Kannada,1
Hindi-317.wav,Hindi,0
Kannada-128.wav,Kannada,1
Hindi-485.wav,Hindi,0
Telugu-412.wav,Telugu,3
Telugu-466.wav,Telugu,3
Telugu-394.wav,Telugu,3
Tamil-162.wav,Tamil,2
Telugu-165.wav,Telugu,3
Hindi-455.wav,Hindi,0
Hindi-451.wav,Hindi,0
Hindi-327.wav,Hindi,0
Hindi-332.wav,Hindi,0
Kannada-306.wav,Kannada,1
Hindi-324.wav,Hindi,0
Tamil-491.wav,Tamil,2
Tamil-305.wav,Tamil,2
Hindi-326.wav,Hindi,0
Hindi-417.wav,Hindi,0
Telugu-484.wav,Telugu,3
Kannada-202.wav,Kannada,1
Telugu-210.wav,Telugu,3
Tamil-176.wav,Tamil,2
Telugu-110.wav,Telugu,3
Telugu-431.wav,Telugu,3
Hindi-370.wav,Hindi,0
Hindi-328.wav,Hindi,0
Telugu-490.wav,Telugu,3
Kannada-266.wav,Kannada,1
Tamil-163.wav,Tamil,2
Kannada-412.wav,Kannada,1
Kannada-239.wav,Kannada,1
Tamil-315.wav,Tamil,2
Kannada-314.wav,Kannada,1
Telugu-369.wav,Telugu,3
Hindi-474.wav,Hindi,0
Hindi-301.wav,Hindi,0
Kannada-405.wav,Kannada,1
Telugu-217.wav,Telugu,3
Tamil-273.wav,Tamil,2
Kannada-358.wav,Kannada,1
Tamil-260.wav,Tamil,2
Tamil-88.wav,Tamil,2
Tamil-476.wav,Tamil,2
Telugu-454.wav,Telugu,3
Hindi-476.wav,Hindi,0
Kannada-435.wav,Kannada,1
Hindi-311.wav,Hindi,0
Hindi-464.wav,Hindi,0
Hindi-273.wav,Hindi,0
Telugu-393.wav,Telugu,3
Hindi-293.wav,Hindi,0
Telugu-367.wav,Telugu,3
Tamil-410.wav,Tamil,2
Kannada-368.wav,Kannada,1
Tamil-434.wav,Tamil,2
Tamil-399.wav,Tamil,2
Tamil-332.wav,Tamil,2
Telugu-359.wav,Telugu,3
Hindi-363.wav,Hindi,0
Telugu-488.wav,Telugu,3
Tamil-318.wav,Tamil,2
Kannada-402.wav,Kannada,1
Kannada-288.wav,Kannada,1
Hindi-276.wav,Hindi,0
Hindi-398.wav,Hindi,0
Telugu-345.wav,Telugu,3
Telugu-423.wav,Telugu,3
Telugu-267.wav,Telugu,3
Kannada-478.wav,Kannada,1
Kannada-338.wav,Kannada,1
Telugu-475.wav,Telugu,3
Telugu-114.wav,Telugu,3
Telugu-265.wav,Telugu,3
Kannada-81.wav,Kannada,1
Telugu-201.wav,Telugu,3
Kannada-366.wav,Kannada,1
Kannada-92.wav,Kannada,1
Hindi-499.wav,Hindi,0
Tamil-372.wav,Tamil,2
Telugu-316.wav,Telugu,3
Hindi-439.wav,Hindi,0
Telugu-306.wav,Telugu,3
Hindi-335.wav,Hindi,0
Tamil-48.wav,Tamil,2
Hindi-262.wav,Hindi,0
Telugu-465.wav,Telugu,3
Kannada-359.wav,Kannada,1
Kannada-355.wav,Kannada,1
Tamil-454.wav,Tamil,2
Tamil-473.wav,Tamil,2
Tamil-248.wav,Tamil,2
Kannada-148.wav,Kannada,1
Hindi-477.wav,Hindi,0
Hindi-215.wav,Hindi,0
Telugu-170.wav,Telugu,3
Tamil-414.wav,Tamil,2
Tamil-400.wav,Tamil,2
Kannada-379.wav,Kannada,1
Telugu-420.wav,Telugu,3
Telugu-368.wav,Telugu,3
Kannada-303.wav,Kannada,1
Kannada-375.wav,Kannada,1
Kannada-264.wav,Kannada,1
Telugu-448.wav,Telugu,3
Telugu-429.wav,Telugu,3
Kannada-381.wav,Kannada,1
Kannada-50.wav,Kannada,1
Kannada-362.wav,Kannada,1
Tamil-358.wav,Tamil,2
Tamil-228.wav,Tamil,2
Tamil-333.wav,Tamil,2
Kannada-476.wav,Kannada,1
Hindi-478.wav,Hindi,0
Telugu-476.wav,Telugu,3
Hindi-162.wav,Hindi,0
Hindi-203.wav,Hindi,0
Kannada-307.wav,Kannada,1
Hindi-312.wav,Hindi,0
Hindi-457.wav,Hindi,0
Tamil-470.wav,Tamil,2
Hindi-371.wav,Hindi,0
Telugu-207.wav,Telugu,3
Hindi-174.wav,Hindi,0
Telugu-439.wav,Telugu,3
Telugu-215.wav,Telugu,3
Telugu-380.wav,Telugu,3
Hindi-98.wav,Hindi,0
Tamil-402.wav,Tamil,2
Hindi-286.wav,Hindi,0
Hindi-484.wav,Hindi,0
Telugu-72.wav,Telugu,3
Kannada-276.wav,Kannada,1
Tamil-325.wav,Tamil,2
Tamil-174.wav,Tamil,2
Hindi-334.wav,Hindi,0
Telugu-249.wav,Telugu,3
Hindi-377.wav,Hindi,0
Tamil-423.wav,Tamil,2
Kannada-210.wav,Kannada,1
Hindi-416.wav,Hindi,0
Kannada-310.wav,Kannada,1
Telugu-407.wav,Telugu,3
Telugu-204.wav,Telugu,3
Hindi-164.wav,Hindi,0
Kannada-228.wav,Kannada,1
Kannada-105.wav,Kannada,1
Hindi-456.wav,Hindi,0
Tamil-422.wav,Tamil,2
Hindi-475.wav,Hindi,0
Hindi-207.wav,Hindi,0
Hindi-423.wav,Hindi,0
Tamil-457.wav,Tamil,2
Tamil-450.wav,Tamil,2
Telugu-441.wav,Telugu,3
Hindi-149.wav,Hindi,0
Kannada-432.wav,Kannada,1
Hindi-376.wav,Hindi,0
Hindi-139.wav,Hindi,0
Telugu-342.wav,Telugu,3
Telugu-432.wav,Telugu,3
Kannada-444.wav,Kannada,1
Telugu-462.wav,Telugu,3
Hindi-171.wav,Hindi,0
Kannada-344.wav,Kannada,1
Telugu-107.wav,Telugu,3
Telugu-310.wav,Telugu,3
Hindi-275.wav,Hindi,0
Kannada-420.wav,Kannada,1
Kannada-315.wav,Kannada,1
Telugu-166.wav,Telugu,3
Tamil-494.wav,Tamil,2
Kannada-94.wav,Kannada,1
Kannada-450.wav,Kannada,1
Kannada-430.wav,Kannada,1
Kannada-129.wav,Kannada,1
Hindi-265.wav,Hindi,0
Kannada-369.wav,Kannada,1
Telugu-398.wav,Telugu,3
Kannada-401.wav,Kannada,1
Telugu-435.wav,Telugu,3
Tamil-262.wav,Tamil,2
Hindi-229.wav,Hindi,0
Hindi-71.wav,Hindi,0
Hindi-440.wav,Hindi,0
Telugu-395.wav,Telugu,3
Tamil-488.wav,Tamil,2
Hindi-445.wav,Hindi,0
Hindi-452.wav,Hindi,0
Hindi-412.wav,Hindi,0
Tamil-471.wav,Tamil,2
Telugu-434.wav,Telugu,3
Tamil-407.wav,Tamil,2
Telugu-478.wav,Telugu,3
Telugu-377.wav,Telugu,3
Tamil-175.wav,Tamil,2
Kannada-206.wav,Kannada,1
Hindi-496.wav,Hindi,0
Telugu-75.wav,Telugu,3
Telugu-399.wav,Telugu,3
Telugu-175.wav,Telugu,3
Kannada-91.wav,Kannada,1
Tamil-73.wav,Tamil,2
Kannada-445.wav,Kannada,1
Hindi-299.wav,Hindi,0
Telugu-231.wav,Telugu,3
Tamil-445.wav,Tamil,2
Kannada-112.wav,Kannada,1
Telugu-102.wav,Telugu,3
Tamil-349.wav,Tamil,2
Telugu-239.wav,Telugu,3
Kannada-438.wav,Kannada,1
Tamil-496.wav,Tamil,2
Kannada-80.wav,Kannada,1
Kannada-458.wav,Kannada,1
Tamil-481.wav,Tamil,2
Tamil-215.wav,Tamil,2
Kannada-393.wav,Kannada,1
Hindi-238.wav,Hindi,0
Kannada-85.wav,Kannada,1
Hindi-166.wav,Hindi,0
Tamil-484.wav,Tamil,2
Kannada-299.wav,Kannada,1
Kannada-53.wav,Kannada,1
Tamil-482.wav,Tamil,2
Kannada-102.wav,Kannada,1
Telugu-403.wav,Telugu,3
Tamil-334.wav,Tamil,2
Hindi-277.wav,Hindi,0
Hindi-59.wav,Hindi,0
Hindi-407.wav,Hindi,0
Telugu-443.wav,Telugu,3
Hindi-351.wav,Hindi,0
Hindi-201.wav,Hindi,0
Tamil-466.wav,Tamil,2
Hindi-470.wav,Hindi,0
Kannada-407.wav,Kannada,1
Tamil-475.wav,Tamil,2
Hindi-435.wav,Hindi,0
Telugu-198.wav,Telugu,3
Telugu-129.wav,Telugu,3
Tamil-438.wav,Tamil,2
Telugu-491.wav,Telugu,3
Hindi-497.wav,Hindi,0
Hindi-177.wav,Hindi,0
Telugu-356.wav,Telugu,3
Hindi-490.wav,Hindi,0
Kannada-351.wav,Kannada,1
Telugu-211.wav,Telugu,3
Telugu-414.wav,Telugu,3
Kannada-110.wav,Kannada,1
Kannada-398.wav,Kannada,1
Telugu-302.wav,Telugu,3
Hindi-411.wav,Hindi,0
